TIMESTAMP,air temperature [K],Wind speed at 10 m (m/s),precipitation rain [m s^-1],Relative humidity at 5 m (%),Incoming shortwave radiation (W/m^2),SWE(m/s)_sd004,SWE(m/s)_sd01,SWE(m/s)_sd02,SWE(m/s)_sd045
3,264.2524618055555,3.9211527777777775,1.7361111111111113e-09,0.7280180555555555,283.1078576388889,4.147374999999994e-10,1.0368437499999986e-09,2.0736874999999972e-09,4.665796874999994e-09
3,267.48271180555554,5.829138888888888,0.0,0.39612604166666665,289.1089236111111,0.0,0.0,0.0,0.0
4,269.2731284722222,5.06863888888889,5.787037037037037e-10,0.34782430555555555,294.8043402777778,0.0,0.0,0.0,0.0
4,270.0807083333333,5.2835069444444445,0.0,0.4859107638888889,250.35887847222224,0.0,0.0,0.0,0.0
4,269.27324305555555,4.234253472222222,5.208333333333334e-09,0.6830701388888889,212.0969236111111,1.1323302546296298e-08,2.8308256365740747e-08,5.6616512731481493e-08,1.2738715364583335e-07
4,269.2931284722222,3.9046458333333334,0.0,0.6290753472222221,256.554,7.233796296296299e-10,1.8084490740740747e-09,3.6168981481481494e-09,8.138020833333337e-09
4,269.14940972222223,5.259854166666667,1.7361111111111113e-09,0.6808388888888889,195.76885069444444,1.04648912037037e-09,2.6162228009259252e-09,5.2324456018518505e-09,1.1773002604166664e-08
4,270.06500694444446,3.8724583333333333,7.523148148148148e-09,0.6305927083333334,241.78241319444447,3.935185185185185e-09,9.837962962962962e-09,1.9675925925925923e-08,4.427083333333333e-08
4,267.4373958333333,4.503333333333334,2.3148148148148148e-09,0.7391027777777777,222.22342708333332,0.0,0.0,0.0,0.0
4,268.65871874999993,3.3438020833333337,1.1574074074074074e-09,0.7203895833333334,172.65510069444446,0.0,0.0,0.0,0.0
4,268.0466666666666,2.831652777777778,4.0509259259259254e-09,0.8278642361111112,174.38912499999998,0.0,0.0,0.0,0.0
4,266.0358541666667,4.6714375,5.208333333333334e-09,0.8449395833333333,282.6621354166667,6.5007717592592586e-09,1.6251929398148147e-08,3.2503858796296295e-08,7.313368229166666e-08
4,266.0111631944444,3.898298611111111,5.787037037037037e-10,0.6631916666666666,193.08460416666665,4.258294675925926e-09,1.0645736689814815e-08,2.129147337962963e-08,4.790581510416667e-08
4,265.11815972222223,4.005399305555556,6.365740740740741e-08,0.6430708333333333,261.35609375,8.994020138888888e-09,2.248505034722222e-08,4.497010069444444e-08,1.011827265625e-07
4,267.2779722222222,6.0669305555555555,0.0,0.5691052083333333,233.22000694444444,0.0,0.0,0.0,0.0
4,267.9072638888889,5.016506944444444,5.787037037037037e-10,0.667373263888889,199.26408680555556,1.7409337962962966e-09,4.352334490740742e-09,8.704668981481484e-09,1.9585505208333337e-08
4,265.39965277777776,4.904628472222223,8.680555555555555e-09,0.8535756944444444,275.91833680555555,1.3695987500000005e-08,3.423996875000001e-08,6.847993750000003e-08,1.5407985937500005e-07
4,262.51054166666665,6.086190972222221,5.787037037037037e-10,0.736870138888889,291.2758784722222,3.901427546296291e-09,9.753568865740727e-09,1.9507137731481455e-08,4.389105989583327e-08
4,266.6493333333333,6.1590625,0.0,0.44576666666666664,349.96602083333335,0.0,0.0,0.0,0.0
4,271.4967048611111,7.244944444444444,5.787037037037037e-10,0.4315524305555556,291.4469930555556,0.0,0.0,0.0,0.0
4,265.59861111111104,5.511465277777778,0.0,0.7689833333333334,266.34788888888886,0.0,0.0,0.0,0.0
4,265.21411805555556,4.052534722222222,8.101851851851851e-09,0.6780743055555556,282.38518402777777,7.966820833333332e-09,1.9917052083333327e-08,3.9834104166666654e-08,8.962673437499998e-08
4,266.38456249999996,2.9486006944444445,5.787037037037037e-10,0.7913090277777779,251.68677083333333,0.0,0.0,0.0,0.0
4,266.3659548611111,4.813760416666667,8.680555555555557e-09,0.7269347222222222,284.0849548611111,1.2364969212962963e-08,3.0912423032407406e-08,6.182484606481481e-08,1.3910590364583334e-07
4,268.2736423611111,2.9171423611111114,2.3148148148148148e-09,0.6710697916666666,344.7925902777778,6.645447453703702e-09,1.6613618634259253e-08,3.3227237268518507e-08,7.476128385416664e-08
4,268.49478124999996,4.046402777777778,2.8935185185185185e-09,0.6691,283.1780798611111,5.449460648148126e-10,1.3623651620370314e-09,2.7247303240740628e-09,6.1306432291666415e-09
