TIMESTAMP,Soil moisture at - 0.04 m (%),Soil moisture at - 0.1 m (%),Soil moisture at - 0.2 m (%),Soil moisture at - 0.4 m (%),Soil moisture at - 0.8 m (%),Soil moisture at - 1.2 m (%),Soil moisture at - 1.6 m (%),Soil temperature at - 0.04 m (K),Soil temperature at - 0.1 m (K),Soil temperature at - 0.2 m (K),Soil temperature at - 0.4 m (K),Soil temperature at - 0.8 m (K),Soil temperature at - 1.2 m (K),Soil temperature at - 1.6 m (K)
2018-05-20,16.9378904125,14.5433943022,14.5409535185,7.79094331156,7.7904687081,7.79023809801,7.79012213786,273.217448078,272.120704583,271.033322393,270.435275818,269.621188787,269.006463001,268.604531085
2018-05-21,15.2185578213,14.5433880344,14.5410018286,7.79099115888,7.7904996221,7.79025770956,7.7901360291,273.190607959,272.11936614,271.077514927,270.496991684,269.689775109,269.067354452,268.65685089
2018-05-22,14.5470656354,14.5423004922,14.5408997199,7.79097992766,7.79052207915,7.79027638355,7.790150035,272.561554102,271.816677265,270.981777836,270.484371933,269.738047163,269.123654316,268.70836744
2018-05-23,14.5717557083,14.542792865,14.5409608924,7.79101119174,7.79054391502,7.79029421189,7.79016394944,272.992376265,271.973641303,271.040192297,270.523279311,269.783627838,269.175939559,268.758362442
2018-05-24,16.0107592211,14.5434326372,14.5410656834,7.79106719789,7.79056915019,7.79031199541,7.790177815,273.208902969,272.128813831,271.133106751,270.589874623,269.834689587,269.22672504,268.807047366
2018-05-25,14.653628586,14.5434302023,14.5411127244,7.79110976281,7.79059505511,7.79032994472,7.79019170981,273.111444105,272.128302651,271.172145201,270.638646689,269.885487215,269.276652684,268.854737651
2018-05-26,14.5476239584,14.5424854808,14.5410192406,7.7910977139,7.79061409945,7.79034705561,7.79020547256,272.597063969,271.880446286,271.092982989,270.626269414,269.921938348,269.323050534,268.900928044
2018-05-27,14.5437783904,14.5418389101,14.5408933639,7.79105425767,7.79062359297,7.79036210688,7.79021873474,272.196441666,271.624638961,270.975517677,270.577198076,269.939943355,269.362931814,268.944485234
2018-05-28,14.5561553749,14.5425469696,14.540990806,7.79108772907,7.79063705176,7.7903761617,7.79023146648,272.859667684,271.900281757,271.067599121,270.615487787,269.964901881,269.399411189,268.9854478
2018-05-29,15.1834181565,14.5434618191,14.5411422618,7.79115886546,7.79065889858,7.79039084617,7.79024399641,273.189086854,272.13489964,271.195876197,270.693371434,270.004432888,269.436763252,269.024970253
2018-05-30,18.0385135483,14.5469504903,14.5414634652,7.79129752314,7.7906944962,7.79040805128,7.79025692746,273.707105775,272.553640673,271.420736424,270.831354877,270.066619017,269.479568352,269.064959765
