	Soil moisture at - 0.04 m (%)	Soil moisture at - 0.1 m (%)	Soil moisture at - 0.2 m (%)	Soil moisture at - 0.4 m (%)	Soil moisture at - 0.8 m (%)	Soil moisture at - 1.2 m (%)	Soil moisture at - 1.6 m (%)	Soil temperature at - 0.00 m (°C)	Soil temperature at - 0.04 m (°C)	Soil temperature at - 0.1 m (°C)	Soil temperature at - 0.2 m (°C)	Soil temperature at - 0.4 m (°C)	Soil temperature at - 0.8 m (°C)	Soil temperature at - 1.2 m (°C)	Soil temperature at - 1.6 m (°C)
14	7.30095486111111	7.670399305555556	8.170296875	8.536579861111111	5.0531371527777775	3.4565190972222224	4.863840277777777	-17.045694444444443	-15.277899305555556	-14.159600694444444	-13.600850694444444	-12.391510416666666	-10.676059027777779	-7.929840277777778	-6.449739583333334
15	7.272203125	7.6384791666666665	8.142538194444445	8.518385416666668	5.041092013888889	3.4401805555555556	4.842319444444445	-17.038725694444445	-15.743263888888889	-14.586440972222222	-13.9184375	-12.5346875	-10.750451388888889	-8.050376736111112	-6.584885416666666
16	7.3027065972222225	7.659052083333333	8.145927083333333	8.502916666666668	5.027975694444445	3.428263888888889	4.827239583333334	-15.642684027777777	-15.188715277777778	-14.19875	-13.74296875	-12.593159722222222	-10.868975694444444	-8.169649305555556	-6.709998263888889
17	7.335795138888889	7.695413194444445	8.179435763888888	8.515225694444444	5.023828125	3.4156475694444444	4.813142361111112	-15.409359375000001	-14.749097222222222	-13.768628472222222	-13.383802083333332	-12.4146875	-10.886614583333333	-8.284229166666666	-6.831663194444445
18	7.308685763888889	7.674586805555556	8.169300347222222	8.519635416666667	5.022640625	3.4057256944444445	4.7984913194444445	-16.615583333333333	-15.178541666666666	-14.035885416666666	-13.498576388888889	-12.361927083333333	-10.856145833333333	-8.368769097222224	-6.9424375
19	7.288737847222222	7.656569444444444	8.150151041666666	8.50607638888889	5.015935763888889	3.395576388888889	4.784041666666667	-16.309159722222223	-15.158697916666668	-14.067430555555555	-13.559809027777778	-12.431805555555556	-10.894114583333334	-8.435071180555557	-7.035550347222222
20	7.2620121527777775	7.630873263888889	8.12292361111111	8.48826388888889	5.008253472222222	3.3873211805555554	4.769640625	-17.176008680555555	-15.565885416666667	-14.383680555555554	-13.780642361111111	-12.541631944444445	-10.958246527777778	-8.506515624999999	-7.12125
21	7.234644097222223	7.6008506944444445	8.086539930555556	8.457204861111112	4.991293402777778	3.378473958333333	4.7525104166666665	-16.554022569444445	-15.731510416666666	-14.630399305555555	-14.054166666666667	-12.77513888888889	-11.084947916666668	-8.586331597222221	-7.207036458333333
22	7.2584809027777775	7.616237847222222	8.083998263888889	8.43529513888889	4.973567708333333	3.367395833333333	4.736326388888889	-15.75818923611111	-15.287812500000001	-14.33017361111111	-13.915086805555555	-12.847864583333333	-11.220989583333335	-8.684184027777778	-7.298685763888889
23	7.273854166666666	7.6333593749999995	8.098944444444445	8.436597222222222	4.9643524305555555	3.3567847222222222	4.719927083333333	-15.947439236111112	-15.181753472222223	-14.192777777777778	-13.774687499999999	-12.77892361111111	-11.272222222222222	-8.785	-7.395842013888889
