TIMESTAMP,air temperature [K],Soil temperature at - 0.00 m [K],Wind speed at 10 m (m/s),precipitation rain [m s^-1],Relative humidity at 5 m (%),Incoming shortwave radiation (W/m^2),precipitation snow [m SWE s^-1]_sd0.1,precipitation snow [m SWE s^-1]_sd0.2,precipitation snow [m SWE s^-1]_sd0.45,precipitation snow [m SWE s^-1]_sd0.04,precipitation snow [m SWE s^-1]_sd0.01
8,277.96425,279.9885850694444,3.0353975694444446,8.449074074074074e-08,0.8771489583333334,132.95478993055553,1.7025462962962962e-08,3.4050925925925924e-08,7.661458333333334e-08,6.810185185185186e-09,1.7025462962962965e-09
8,277.65662152777776,280.41365277777777,3.7056215277777778,6.018518518518519e-08,0.8946796875,174.71614756944444,1.3211805555555556e-08,2.6423611111111113e-08,5.9453125e-08,5.284722222222223e-09,1.3211805555555557e-09
8,277.69883159722224,280.544828125,4.180935763888889,4.253472222222222e-08,0.8912519097222222,172.43539409722223,1.2291666666666668e-08,2.4583333333333335e-08,5.53125e-08,4.916666666666667e-09,1.2291666666666667e-09
8,278.1180763888889,281.04297916666667,3.861614583333333,4.340277777777778e-08,0.8731583333333334,212.73363020833332,1.2294560185185184e-08,2.458912037037037e-08,5.5325520833333335e-08,4.917824074074074e-09,1.2294560185185186e-09
8,278.3463472222222,281.14137326388885,3.4162881944444443,7.494212962962963e-08,0.8616635416666667,188.70254166666666,1.2861689814814815e-08,2.572337962962963e-08,5.7877604166666666e-08,5.144675925925926e-09,1.2861689814814814e-09
8,277.4028402777778,279.9326788194444,5.070567708333334,7.146990740740741e-08,0.884343923611111,161.71175694444446,1.2355324074074075e-08,2.471064814814815e-08,5.5598958333333326e-08,4.94212962962963e-09,1.2355324074074075e-09
8,276.25963194444444,278.20168576388886,3.849121527777778,6.973379629629629e-08,0.8565807291666667,137.55055555555555,1.4253472222222222e-08,2.8506944444444445e-08,6.4140625e-08,5.701388888888889e-09,1.4253472222222222e-09
8,277.0433020833333,279.2866336805555,3.4829565972222225,3.84837962962963e-08,0.8028456597222222,226.31371875,1.4849537037037037e-08,2.9699074074074074e-08,6.682291666666668e-08,5.939814814814816e-09,1.484953703703704e-09
9,276.2579253472222,278.72932986111107,4.2033628472222215,7.002314814814815e-08,0.8225560763888888,200.78974305555556,1.5633680555555553e-08,3.1267361111111106e-08,7.03515625e-08,6.253472222222223e-09,1.5633680555555557e-09
9,275.55642187499996,277.9690920138889,3.406237847222222,3.5300925925925926e-08,0.8897385416666667,153.57451041666667,1.341724537037037e-08,2.683449074074074e-08,6.037760416666666e-08,5.3668981481481486e-09,1.3417245370370371e-09
