TIMESTAMP,air temperature [K],Soil temperature at - 0.00 m [K],Wind speed at 10 m (m/s),precipitation rain [m s^-1],Relative humidity at 5 m (%),Incoming shortwave radiation (W/m^2),precipitation snow [m SWE s^-1]_sd0.1,precipitation snow [m SWE s^-1]_sd0.2,precipitation snow [m SWE s^-1]_sd0.45,precipitation snow [m SWE s^-1]_sd0.04,precipitation snow [m SWE s^-1]_sd0.01
2017-10-05,275.26793055555555,273.02285416666666,4.191548611111111,0.0,0.49465208333333327,257.9303611111111,1.5578703703703704e-08,3.115740740740741e-08,7.010416666666666e-08,6.231481481481482e-09,1.5578703703703704e-09
2017-10-06,275.48084027777776,274.6621111111111,3.8634444444444447,4.6296296296296295e-09,0.5382263888888889,145.75606249999998,1.5717592592592592e-08,3.1435185185185185e-08,7.072916666666667e-08,6.287037037037037e-09,1.5717592592592593e-09
2017-10-07,273.4169444444444,274.1041388888889,3.384326388888889,8.101851851851853e-09,0.8086201388888888,160.07954166666667,1.4155092592592592e-08,2.8310185185185185e-08,6.369791666666666e-08,5.662037037037037e-09,1.4155092592592592e-09
2017-10-08,271.3868611111111,273.60046527777774,5.131916666666666,0.0,0.9251284722222222,70.73805555555556,1.6828703703703706e-08,3.365740740740741e-08,7.572916666666667e-08,6.731481481481482e-09,1.6828703703703705e-09
2017-10-09,267.0616597222222,271.8318333333333,3.6696805555555554,2.4305555555555556e-08,0.9302916666666667,120.59443055555556,3.443287037037037e-08,6.886574074074074e-08,1.5494791666666666e-07,1.3773148148148148e-08,3.443287037037037e-09
2017-10-10,269.2151736111111,270.2822708333333,6.546986111111111,1.1574074074074074e-09,0.4837854166666667,248.2296041666667,4.157407407407407e-08,8.314814814814815e-08,1.8708333333333332e-07,1.662962962962963e-08,4.157407407407408e-09
2017-10-11,269.5732083333333,269.7442083333333,4.627506944444445,1.1574074074074074e-09,0.4130034722222222,238.19744444444444,3.7037037037037036e-08,7.407407407407407e-08,1.6666666666666668e-07,1.4814814814814816e-08,3.703703703703704e-09
2017-10-12,270.2370902777778,269.52245138888884,5.86473611111111,0.0,0.2883451388888889,242.1636041666667,3.365740740740741e-08,6.731481481481482e-08,1.5145833333333335e-07,1.3462962962962964e-08,3.365740740740741e-09
2017-10-13,268.58008333333333,270.2860069444444,3.3918194444444447,0.0,0.5963805555555556,160.69829166666668,3.1562499999999996e-08,6.312499999999999e-08,1.4203125e-07,1.2624999999999999e-08,3.1562499999999997e-09
2017-10-14,268.0423819444444,271.2617986111111,3.3602291666666666,2.3148148148148148e-09,0.7954034722222222,194.3815486111111,3.778935185185185e-08,7.55787037037037e-08,1.7005208333333333e-07,1.511574074074074e-08,3.778935185185185e-09
2017-10-15,269.05509027777777,271.88335416666666,3.7399930555555554,8.101851851851851e-09,0.8499722222222222,197.53744444444445,3.28125e-08,6.5625e-08,1.4765625e-07,1.3125e-08,3.28125e-09
2017-10-16,268.6330694444444,271.1904097222222,4.477201388888889,6.944444444444444e-09,0.924075,101.09048611111112,3.91087962962963e-08,7.82175925925926e-08,1.7598958333333332e-07,1.564351851851852e-08,3.91087962962963e-09
2017-10-17,268.102375,272.2658055555555,3.9511944444444445,1.5046296296296297e-08,0.9119861111111112,157.00330555555556,8.422453703703703e-08,1.6844907407407407e-07,3.790104166666667e-07,3.368981481481482e-08,8.422453703703704e-09
2017-10-18,267.8895347222222,271.9860625,3.820493055555555,0.0,0.7393347222222222,133.451625,7.204861111111111e-08,1.4409722222222222e-07,3.2421875e-07,2.8819444444444445e-08,7.204861111111111e-09
2017-10-19,270.0141875,271.66626388888886,3.964847222222222,1.1574074074074074e-09,0.4475965277777778,226.94161805555555,6.83912037037037e-08,1.367824074074074e-07,3.077604166666666e-07,2.735648148148148e-08,6.83912037037037e-09
2017-10-20,270.23806249999996,271.7715763888889,5.317034722222222,0.0,0.47997430555555554,205.56356944444443,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-10-21,265.8050694444444,272.28531944444444,3.012840277777778,2.3148148148148148e-09,0.9147291666666666,178.71600694444444,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-10-22,267.69586805555554,272.37930555555556,2.9074444444444447,0.0,0.814667361111111,140.41552777777778,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-10-23,269.0745486111111,272.3449166666666,4.362493055555555,0.0,0.7268076388888889,196.2199861111111,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-10-24,267.6289791666666,272.17013194444445,2.990763888888889,0.0,0.7627034722222222,54.3918125,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-10-25,265.72024305555556,272.44431249999997,3.256013888888889,1.1574074074074074e-08,0.8786111111111111,152.94244444444445,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-10-26,266.53877777777774,272.23088888888884,7.738347222222223,0.0,0.46269444444444446,207.52447916666668,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-10-27,266.9496597222222,272.02941666666663,5.940631944444444,0.0,0.4908472222222222,171.96476388888888,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-10-28,267.2429375,271.8147847222222,5.432541666666667,0.0,0.3298638888888889,206.541375,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-10-29,268.00079861111107,271.59750694444443,3.529847222222222,0.0,0.27991666666666665,189.33345833333334,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-10-30,267.4005347222222,271.29391666666663,3.226388888888889,0.0,0.5887861111111111,165.37125694444444,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-10-31,267.68931944444444,271.2549097222222,4.749326388888889,1.1574074074074074e-09,0.4952784722222222,197.11122916666667,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-11-01,267.6920763888889,271.4614305555555,6.457673611111111,0.0,0.3518680555555555,161.88312499999998,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-11-02,266.31354166666665,270.58784027777773,3.5201805555555556,0.0,0.4858208333333333,181.1672361111111,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-11-03,266.4845902777778,270.24125694444444,3.208736111111111,0.0,0.50105,172.20624305555555,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-11-04,267.20941666666664,270.0880347222222,4.262395833333333,0.0,0.37729722222222223,188.9949722222222,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-11-05,266.9740833333333,269.846,2.8061527777777777,0.0,0.37335833333333335,177.79304861111112,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
2017-11-06,264.7161805555555,269.96549999999996,5.1394375,0.0,0.5284472222222223,147.83497222222223,5.625709378733571e-08,1.1251418757467142e-07,2.531569220430107e-07,2.2502837514934285e-08,5.625709378733571e-09
